"Date","Price","Open","High","Low","Change %"
"Jan 10, 2018","5,626.00","5,637.61","5,638.00","5,625.00","-0.01%"
"Jan 09, 2018","5,626.73","5,637.20","5,637.20","5,578.56","-0.08%"
"Jan 08, 2018","5,631.00","5,640.27","5,644.93","5,626.51","0.00%"
"Jan 05, 2018","5,631.00","5,633.58","5,641.31","5,610.50","0.00%"
"Jan 04, 2018","5,631.00","5,619.55","5,638.32","5,575.00","0.25%"
"Jan 03, 2018","5,616.98","5,594.69","5,616.98","5,572.43","0.53%"
"Jan 02, 2018","5,587.50","5,617.45","5,624.50","5,587.50","-0.01%"
"Jan 01, 2018","5,588.00","5,588.00","5,588.00","5,588.00","0.00%"
"Dec 29, 2017","5,588.00","5,593.97","5,612.00","5,588.00","-0.29%"
"Dec 28, 2017","5,604.50","5,608.16","5,610.50","5,572.88","0.04%"
"Dec 27, 2017","5,602.31","5,613.14","5,623.65","5,600.72","-1.00%"
"Dec 26, 2017","5,659.00","5,636.44","5,659.00","5,616.87","0.00%"
"Dec 25, 2017","5,659.00","5,659.00","5,659.00","5,659.00","0.00%"
"Dec 22, 2017","5,659.00","5,658.85","5,665.00","5,615.64","0.00%"
"Dec 21, 2017","5,659.00","5,668.00","5,673.56","5,658.85","-0.09%"
"Dec 20, 2017","5,664.00","5,661.00","5,669.56","5,645.27","0.04%"
"Dec 19, 2017","5,661.50","5,670.84","5,677.71","5,661.50","0.47%"
"Dec 18, 2017","5,635.00","5,637.20","5,647.17","5,627.13","0.03%"
"Dec 15, 2017","5,633.50","5,636.08","5,644.50","5,604.78","0.04%"
"Dec 14, 2017","5,631.50","5,637.72","5,645.50","5,591.06","-0.60%"
"Dec 13, 2017","5,665.50","5,652.96","5,677.50","5,630.50","0.00%"
"Dec 12, 2017","5,665.50","5,652.90","5,677.50","5,646.90","0.73%"
"Dec 11, 2017","5,624.56","5,629.22","5,629.22","5,622.95","-0.81%"
"Dec 08, 2017","5,670.50","5,670.50","5,670.50","5,670.50","0.00%"
"Dec 07, 2017","5,670.50","5,675.70","5,675.70","5,613.50","0.00%"
"Dec 06, 2017","5,670.50","5,671.50","5,683.91","5,670.50","0.27%"
"Dec 05, 2017","5,655.00","5,663.23","5,663.23","5,645.00","0.03%"
"Dec 04, 2017","5,653.50","5,668.97","5,676.69","5,653.50","-0.33%"
"Dec 01, 2017","5,672.50","5,666.50","5,685.95","5,666.50","0.14%"
"Nov 30, 2017","5,664.50","5,679.10","5,683.70","5,664.50","-0.19%"
"Nov 29, 2017","5,675.50","5,657.50","5,681.18","5,657.50","0.22%"
"Nov 28, 2017","5,663.00","5,672.88","5,674.53","5,661.00","0.08%"
"Nov 27, 2017","5,658.50","5,688.44","5,688.44","5,658.50","-0.16%"
"Nov 24, 2017","5,667.50","5,676.52","5,682.55","5,650.50","-0.09%"
"Nov 23, 2017","5,672.81","5,659.75","5,677.13","5,659.75","0.22%"
"Nov 22, 2017","5,660.50","5,660.16","5,668.06","5,636.24","0.14%"
"Nov 21, 2017","5,652.48","5,650.60","5,657.82","5,645.82","0.05%"
"Nov 20, 2017","5,649.50","5,657.72","5,657.72","5,642.05","-0.04%"
"Nov 17, 2017","5,651.50","5,649.50","5,657.93","5,643.50","0.02%"
"Nov 16, 2017","5,650.50","5,653.11","5,655.90","5,623.79","-0.23%"
"Nov 15, 2017","5,663.50","5,660.05","5,669.11","5,660.05","-0.02%"
"Nov 14, 2017","5,664.50","5,673.50","5,673.79","5,664.14","0.17%"
"Nov 13, 2017","5,654.63","5,658.68","5,658.68","5,625.39","0.06%"
"Nov 10, 2017","5,651.50","5,659.68","5,669.92","5,648.50","-0.03%"
"Nov 09, 2017","5,653.00","5,658.05","5,659.14","5,613.99","0.04%"
"Nov 08, 2017","5,650.50","5,642.48","5,658.12","5,642.48","0.15%"
"Nov 07, 2017","5,642.00","5,656.76","5,656.76","5,639.02","0.02%"
"Nov 06, 2017","5,641.00","5,644.58","5,656.00","5,641.00","-0.04%"
"Nov 03, 2017","5,643.00","5,648.83","5,650.45","5,640.00","0.04%"
